match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2009-04-29,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,3,2,1,1
2009-04-29,2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,3,2,1,1
2009-04-30,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,3,2,1,1
2009-04-30,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,3,2,1,0
2009-05-01,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2,2,0,1
2009-05-01,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2,2,0,0
2009-05-02,2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2,2,0,0
2009-05-02,2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,2,2,0,1
2009-05-03,2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2,2,0,1
2009-05-03,2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,2,0,1
2009-05-04,2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2,2,0,1
2009-05-05,2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,2,3,-1,0
2009-05-05,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,3,2,1,1
2009-05-06,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,2,3,-1,1
2009-05-07,2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,4,2,2,0
2009-05-07,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,3,2,1,1
2009-05-08,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,3,2,1,1
2009-05-09,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,3,2,1,0
2009-05-09,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2,2,0,1
2009-05-10,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,2,5,-3,1
2009-05-10,2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,3,2,1,0
2009-05-11,2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,2,2,0,1
2009-05-12,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2,2,0,1
2009-05-12,2009,Kings XI Punjab,Mumbai Indians,Mumbai Indians,3,2,1,0
2009-05-13,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2009-05-14,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2,5,-3,1
